epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2756,1.52651,2.30644,1.23952,0.38327,0.41973,0.41262,0.26356,1.29104,2.54554,1.27466,0.0672598,0.000330709,0.000330709
2,85.0911,1.42232,1.42806,1.20201,0.61528,0.53194,0.57639,0.38055,1.16218,1.53635,1.19913,0.0342403,0.000644459,0.000644459
3,126.52,1.40982,1.28519,1.20067,0.68993,0.64629,0.67896,0.4428,1.15661,1.30089,1.19104,0.00120102,0.000938549,0.000938549
4,168.156,1.40011,1.19875,1.19592,0.5651,0.6972,0.67878,0.43489,1.15011,1.38793,1.15983,0.000911528,0.000911528,0.000911528
5,209.986,1.39391,1.15167,1.19004,0.6463,0.71375,0.7029,0.45927,1.11527,1.08384,1.13001,0.000882037,0.000882037,0.000882037
6,251.671,1.38232,1.08436,1.17034,0.71378,0.70726,0.70451,0.4883,1.06201,0.98302,1.11554,0.000852547,0.000852547,0.000852547
7,293.288,1.34041,1.03228,1.16669,0.78364,0.65716,0.70424,0.4879,1.0497,0.96112,1.11898,0.000823056,0.000823056,0.000823056
8,334.994,1.33483,1.00648,1.15795,0.75227,0.68208,0.69859,0.49057,1.07017,0.90663,1.11629,0.000793565,0.000793565,0.000793565
9,376.497,1.31627,0.97511,1.16011,0.78774,0.66923,0.7179,0.49498,1.0407,0.8788,1.10236,0.000764075,0.000764075,0.000764075
10,418.02,1.31167,0.96888,1.14851,0.71611,0.69008,0.7098,0.50033,1.0133,0.82117,1.10399,0.000734584,0.000734584,0.000734584
11,459.655,1.29148,0.94191,1.14789,0.8138,0.7302,0.77611,0.54396,1.00588,0.79677,1.09254,0.000705093,0.000705093,0.000705093
12,501.24,1.28343,0.88775,1.13943,0.76274,0.76711,0.78578,0.5653,1.02236,0.77476,1.08467,0.000675603,0.000675603,0.000675603
13,542.768,1.27162,0.89292,1.13655,0.78159,0.72054,0.77093,0.52761,1.07847,0.8266,1.11712,0.000646112,0.000646112,0.000646112
14,584.051,1.29772,0.89132,1.14845,0.78065,0.73416,0.78997,0.56522,1.02787,0.77079,1.13328,0.000616621,0.000616621,0.000616621
15,625.868,1.26599,0.85905,1.14023,0.82704,0.74575,0.79162,0.58314,0.99195,0.77068,1.07805,0.000587131,0.000587131,0.000587131
16,667.397,1.24562,0.85404,1.11683,0.80906,0.77338,0.8012,0.5705,0.98338,0.72428,1.07113,0.00055764,0.00055764,0.00055764
17,709.028,1.2433,0.8322,1.12149,0.73592,0.81009,0.816,0.592,0.99322,0.73288,1.06124,0.000528149,0.000528149,0.000528149
18,750.766,1.23365,0.8105,1.11697,0.87449,0.76854,0.81485,0.59617,0.97806,0.70862,1.0566,0.000498659,0.000498659,0.000498659
19,792.469,1.22025,0.80452,1.10634,0.80315,0.75959,0.81399,0.58942,0.97637,0.70553,1.05355,0.000469168,0.000469168,0.000469168
20,834.249,1.21815,0.80658,1.10917,0.86413,0.77942,0.82415,0.60321,0.97336,0.68577,1.06269,0.000439677,0.000439677,0.000439677
21,910.264,1.20923,0.77754,1.10976,0.84766,0.7782,0.80092,0.58,0.95967,0.70397,1.07238,0.000410187,0.000410187,0.000410187
22,951.55,1.22624,0.75613,1.11066,0.85673,0.79164,0.8394,0.60808,0.9811,0.688,1.06471,0.000380696,0.000380696,0.000380696
23,992.935,1.20242,0.75323,1.10227,0.85292,0.7891,0.83435,0.61193,0.96698,0.68324,1.0631,0.000351205,0.000351205,0.000351205
24,1034.35,1.18528,0.737,1.08721,0.90677,0.78173,0.83979,0.61326,0.96322,0.69222,1.06224,0.000321715,0.000321715,0.000321715
25,1075.81,1.20707,0.74414,1.10537,0.86606,0.77883,0.82027,0.59809,0.95732,0.6979,1.05998,0.000292224,0.000292224,0.000292224
26,1117.25,1.18179,0.72286,1.0915,0.83271,0.7736,0.82844,0.6146,0.93985,0.63911,1.04693,0.000262733,0.000262733,0.000262733
27,1158.74,1.16881,0.70167,1.08194,0.83657,0.7882,0.84874,0.62752,0.93009,0.66354,1.04253,0.000233243,0.000233243,0.000233243
28,1200.37,1.1555,0.69964,1.08464,0.81257,0.80099,0.83472,0.61654,0.94588,0.64941,1.04414,0.000203752,0.000203752,0.000203752
29,1241.74,1.12768,0.68392,1.07125,0.82004,0.79898,0.8286,0.61971,0.92065,0.65478,1.03456,0.000174261,0.000174261,0.000174261
30,1283.19,1.15398,0.69157,1.08404,0.79038,0.84129,0.83498,0.62371,0.92245,0.64918,1.03746,0.000144771,0.000144771,0.000144771
