epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2623,1.51123,2.27056,1.23176,0.66581,0.43138,0.46405,0.29488,1.28432,2.25116,1.19671,0.0672598,0.000330709,0.000330709
2,85.2957,1.41587,1.38922,1.19629,0.64682,0.57724,0.58295,0.38525,1.21009,1.3319,1.20716,0.0342402,0.00064436,0.00064436
3,126.945,1.41557,1.28772,1.20365,0.65558,0.62743,0.65078,0.43949,1.13074,1.25171,1.22127,0.00120072,0.000938252,0.000938252
4,168.586,1.38912,1.18568,1.19427,0.73424,0.55032,0.65609,0.44728,1.11729,1.36338,1.16477,0.000911081,0.000911081,0.000911081
5,210.212,1.37524,1.14124,1.18711,0.74195,0.70871,0.72476,0.47881,1.11909,0.98068,1.15137,0.000881441,0.000881441,0.000881441
6,252.802,1.37995,1.07934,1.17593,0.66342,0.62593,0.70251,0.48924,1.05854,0.92205,1.12646,0.000851802,0.000851802,0.000851802
7,294.546,1.34082,1.0349,1.16471,0.71619,0.65362,0.69235,0.47152,1.05621,0.95073,1.13512,0.000822162,0.000822162,0.000822162
8,336.075,1.33935,0.99544,1.1597,0.79778,0.6892,0.71151,0.50357,1.05295,0.87583,1.10722,0.000792522,0.000792522,0.000792522
9,377.594,1.30968,0.96397,1.15997,0.71413,0.66618,0.73756,0.49098,1.06159,0.90382,1.11079,0.000762883,0.000762883,0.000762883
10,419.112,1.31633,0.96774,1.15046,0.82005,0.70536,0.72967,0.50616,1.05293,0.87193,1.10619,0.000733243,0.000733243,0.000733243
11,460.831,1.29722,0.94727,1.14848,0.72867,0.72884,0.7455,0.53035,1.00865,0.79557,1.09176,0.000703603,0.000703603,0.000703603
12,502.818,1.28161,0.87956,1.13944,0.67639,0.78357,0.76473,0.55002,1.02883,0.81501,1.10364,0.000673964,0.000673964,0.000673964
13,544.594,1.26683,0.8796,1.13247,0.79264,0.80351,0.81816,0.58263,1.0244,0.74242,1.08868,0.000644324,0.000644324,0.000644324
14,586.346,1.27965,0.88952,1.13974,0.7942,0.77452,0.80004,0.5782,1.00583,0.74797,1.08367,0.000614684,0.000614684,0.000614684
15,628.015,1.27504,0.86622,1.14236,0.85397,0.77324,0.81922,0.58746,0.97886,0.74565,1.07379,0.000585045,0.000585045,0.000585045
16,669.678,1.25986,0.86704,1.11891,0.81085,0.74208,0.79359,0.56803,0.99896,0.72803,1.07704,0.000555405,0.000555405,0.000555405
17,711.312,1.23525,0.82977,1.11713,0.7857,0.74682,0.77992,0.56541,0.96692,0.71729,1.05326,0.000525765,0.000525765,0.000525765
18,753.063,1.23287,0.81531,1.11455,0.81469,0.79524,0.82616,0.60274,0.96895,0.70318,1.06327,0.000496126,0.000496126,0.000496126
19,794.73,1.21525,0.80862,1.10701,0.88458,0.76254,0.82329,0.58743,0.98358,0.68824,1.0783,0.000466486,0.000466486,0.000466486
20,837.19,1.21081,0.79695,1.1076,0.84473,0.75511,0.83434,0.62104,0.95,0.66041,1.05039,0.000436846,0.000436846,0.000436846
21,913.191,1.20669,0.76402,1.10714,0.854,0.78327,0.82665,0.59764,0.96873,0.6859,1.07262,0.000407207,0.000407207,0.000407207
22,954.427,1.22922,0.75733,1.10968,0.82301,0.79461,0.81967,0.59372,0.96179,0.69615,1.07043,0.000377567,0.000377567,0.000377567
23,995.748,1.19485,0.74563,1.09507,0.81556,0.79979,0.8403,0.60691,0.99309,0.65289,1.0792,0.000347927,0.000347927,0.000347927
24,1037.28,1.17837,0.73663,1.0836,0.89189,0.79133,0.84339,0.62698,0.95601,0.6769,1.05998,0.000318288,0.000318288,0.000318288
25,1078.83,1.20133,0.7332,1.10307,0.82639,0.80388,0.84191,0.61999,0.91685,0.65414,1.03329,0.000288648,0.000288648,0.000288648
26,1120.58,1.17626,0.71754,1.08472,0.87066,0.82154,0.84653,0.62903,0.93403,0.64785,1.03606,0.000259008,0.000259008,0.000259008
27,1161.98,1.15851,0.69432,1.07755,0.85996,0.77132,0.84234,0.62538,0.93843,0.63945,1.04054,0.000229369,0.000229369,0.000229369
28,1203.69,1.1465,0.68566,1.07895,0.8548,0.80832,0.84408,0.63154,0.92668,0.63571,1.02693,0.000199729,0.000199729,0.000199729
29,1245.18,1.11404,0.67636,1.06671,0.82602,0.79403,0.83124,0.62475,0.92228,0.6375,1.03129,0.000170089,0.000170089,0.000170089
30,1286.56,1.14684,0.6853,1.08278,0.85943,0.82634,0.84505,0.63411,0.90303,0.63809,1.02746,0.00014045,0.00014045,0.00014045
