epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.6499,1.52262,2.26226,1.23065,0.6086,0.45517,0.47107,0.30691,1.29261,2.37642,1.25341,0.0672598,0.000330709,0.000330709
2,88.5265,1.4234,1.39623,1.1976,0.60459,0.52402,0.51727,0.3261,1.23595,1.62216,1.19859,0.0342403,0.000644459,0.000644459
3,131.739,1.41002,1.27137,1.19672,0.7647,0.54113,0.64322,0.40293,1.23068,1.17412,1.26048,0.00120102,0.000938549,0.000938549
4,173.535,1.4028,1.19176,1.19127,0.74096,0.62974,0.66347,0.45278,1.15257,1.21396,1.18865,0.000911528,0.000911528,0.000911528
5,215.406,1.38435,1.14933,1.18811,0.66989,0.66811,0.6831,0.46391,1.11029,1.03657,1.1365,0.000882037,0.000882037,0.000882037
6,257.268,1.3876,1.07399,1.17405,0.66263,0.71604,0.74425,0.51507,1.07191,0.98345,1.1183,0.000852547,0.000852547,0.000852547
7,298.905,1.34328,1.02855,1.16008,0.76816,0.6749,0.71731,0.49388,1.06829,0.94059,1.1231,0.000823056,0.000823056,0.000823056
8,340.331,1.34321,0.9994,1.15777,0.8588,0.61905,0.71857,0.49025,1.12137,0.95628,1.15642,0.000793565,0.000793565,0.000793565
9,381.733,1.32175,0.96565,1.16524,0.77282,0.69223,0.71375,0.49816,1.03094,0.92828,1.10648,0.000764075,0.000764075,0.000764075
10,423.455,1.30977,0.95729,1.14795,0.68465,0.75124,0.75524,0.54474,1.0222,0.80645,1.08622,0.000734584,0.000734584,0.000734584
11,465.19,1.30761,0.9407,1.15715,0.83435,0.70322,0.75658,0.53787,1.04155,0.83411,1.11007,0.000705093,0.000705093,0.000705093
12,506.885,1.28351,0.89226,1.13773,0.75466,0.72049,0.75952,0.53935,1.02132,0.81996,1.10273,0.000675603,0.000675603,0.000675603
13,548.793,1.27855,0.89238,1.13631,0.7578,0.71215,0.76383,0.54389,1.0314,0.75784,1.09002,0.000646112,0.000646112,0.000646112
14,590.742,1.28721,0.88167,1.14401,0.84838,0.75222,0.83254,0.59878,0.99968,0.72905,1.06391,0.000616621,0.000616621,0.000616621
15,632.538,1.25998,0.85574,1.13289,0.80301,0.77847,0.81495,0.59505,0.95987,0.74397,1.06332,0.000587131,0.000587131,0.000587131
16,674.481,1.25126,0.84994,1.11693,0.82313,0.73307,0.81235,0.57821,0.99737,0.71797,1.09012,0.00055764,0.00055764,0.00055764
17,716.393,1.24,0.83162,1.11773,0.80711,0.76146,0.82455,0.59267,0.9726,0.70155,1.05028,0.000528149,0.000528149,0.000528149
18,758.071,1.2423,0.81426,1.11613,0.82559,0.77708,0.82171,0.59921,0.98123,0.70362,1.05691,0.000498659,0.000498659,0.000498659
19,799.823,1.21636,0.80057,1.10455,0.8372,0.76819,0.81404,0.59819,0.96468,0.69337,1.0575,0.000469168,0.000469168,0.000469168
20,841.727,1.2163,0.79332,1.10803,0.83887,0.78207,0.84383,0.61137,0.96682,0.65761,1.0653,0.000439677,0.000439677,0.000439677
21,918.408,1.21198,0.76678,1.1105,0.8385,0.75314,0.8137,0.5785,0.99232,0.67548,1.08765,0.000410187,0.000410187,0.000410187
22,959.906,1.22664,0.75544,1.10888,0.87489,0.78742,0.85267,0.62221,0.95801,0.64389,1.04457,0.000380696,0.000380696,0.000380696
23,1001.33,1.20077,0.74178,1.09822,0.82792,0.75731,0.82191,0.59454,0.96278,0.65434,1.06797,0.000351205,0.000351205,0.000351205
24,1042.71,1.17802,0.72959,1.08533,0.84049,0.80566,0.85317,0.62452,0.95753,0.64226,1.04425,0.000321715,0.000321715,0.000321715
25,1084.25,1.20747,0.73967,1.10538,0.82176,0.80816,0.85582,0.61535,0.95814,0.65594,1.05454,0.000292224,0.000292224,0.000292224
26,1125.86,1.1793,0.71579,1.09128,0.89265,0.76864,0.85358,0.62602,0.95504,0.63517,1.0515,0.000262733,0.000262733,0.000262733
27,1168.96,1.16269,0.69503,1.08236,0.85192,0.80576,0.84954,0.62242,0.93774,0.6169,1.04173,0.000233243,0.000233243,0.000233243
28,1210.5,1.15783,0.68297,1.08594,0.86609,0.81606,0.87856,0.65744,0.92858,0.61366,1.03341,0.000203752,0.000203752,0.000203752
29,1252.43,1.1278,0.66942,1.07332,0.88307,0.78664,0.87049,0.64501,0.91669,0.59475,1.03365,0.000174261,0.000174261,0.000174261
30,1294.17,1.15434,0.68158,1.08633,0.79299,0.81293,0.85225,0.63611,0.91774,0.5997,1.03408,0.000144771,0.000144771,0.000144771
