epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4889,1.50924,2.27437,1.21887,0.51191,0.42417,0.41899,0.26538,1.23563,2.21203,1.19824,0.0672598,0.000330709,0.000330709
2,85.4637,1.42181,1.41025,1.19507,0.58191,0.52089,0.55069,0.33213,1.2191,1.6094,1.18483,0.0342402,0.000644416,0.000644416
3,127.243,1.4053,1.29003,1.19076,0.51636,0.62795,0.6177,0.41801,1.12691,1.3387,1.19186,0.00120089,0.000938419,0.000938419
4,169.055,1.39908,1.19877,1.18836,0.64918,0.55438,0.6162,0.41071,1.13101,1.26273,1.15195,0.000911333,0.000911333,0.000911333
5,210.801,1.37923,1.14498,1.18671,0.6056,0.67619,0.68602,0.45699,1.0781,1.07097,1.13649,0.000881777,0.000881777,0.000881777
6,252.688,1.38863,1.07388,1.17063,0.6696,0.64573,0.69107,0.48401,1.05261,0.96389,1.10107,0.000852222,0.000852222,0.000852222
7,295.939,1.32757,1.02096,1.15471,0.65652,0.68897,0.68668,0.47972,1.04109,0.96776,1.10402,0.000822666,0.000822666,0.000822666
8,337.555,1.32958,0.98641,1.15157,0.69774,0.68279,0.73019,0.50457,1.07695,0.87358,1.10979,0.00079311,0.00079311,0.00079311
9,379.095,1.31496,0.97252,1.15834,0.80618,0.69378,0.72798,0.51704,0.99813,0.84152,1.06834,0.000763555,0.000763555,0.000763555
10,420.856,1.31442,0.96211,1.14779,0.84664,0.69775,0.73847,0.51508,1.02923,0.82978,1.10383,0.000733999,0.000733999,0.000733999
11,462.727,1.29065,0.93634,1.14609,0.85273,0.72321,0.78894,0.56059,1.00488,0.79229,1.08403,0.000704443,0.000704443,0.000704443
12,504.395,1.27113,0.8817,1.12914,0.84249,0.74097,0.80042,0.57963,0.98923,0.77733,1.07019,0.000674888,0.000674888,0.000674888
13,546.239,1.26616,0.88183,1.12545,0.82758,0.76274,0.7758,0.53911,1.05456,0.80584,1.11336,0.000645332,0.000645332,0.000645332
14,588.223,1.28462,0.86839,1.13642,0.85292,0.6805,0.77836,0.554,1.02625,0.76889,1.10367,0.000615776,0.000615776,0.000615776
15,630.102,1.25778,0.84731,1.13295,0.80552,0.78201,0.8162,0.5873,0.97113,0.77051,1.05896,0.000586221,0.000586221,0.000586221
16,672.05,1.23735,0.85095,1.10912,0.80338,0.77519,0.81474,0.58324,0.99371,0.70782,1.08813,0.000556665,0.000556665,0.000556665
17,713.965,1.2346,0.82542,1.11299,0.84546,0.71931,0.79279,0.57447,0.98978,0.74774,1.07611,0.000527109,0.000527109,0.000527109
18,755.882,1.22809,0.80479,1.10967,0.83976,0.75763,0.80595,0.59569,0.98405,0.72314,1.05983,0.000497554,0.000497554,0.000497554
19,797.556,1.2105,0.79974,1.0977,0.8515,0.78245,0.81701,0.58848,0.97532,0.70753,1.05101,0.000467998,0.000467998,0.000467998
20,839.378,1.20316,0.79384,1.10075,0.82698,0.79871,0.81949,0.5913,0.97104,0.67345,1.05773,0.000438442,0.000438442,0.000438442
21,915.981,1.21386,0.76931,1.10495,0.7764,0.75176,0.79084,0.58469,0.98496,0.73424,1.08391,0.000408887,0.000408887,0.000408887
22,957.426,1.2247,0.75836,1.10727,0.81054,0.76008,0.80942,0.58075,0.95909,0.67704,1.04414,0.000379331,0.000379331,0.000379331
23,998.827,1.19746,0.73411,1.09321,0.80295,0.81874,0.83231,0.6084,0.96667,0.66098,1.05798,0.000349775,0.000349775,0.000349775
24,1040.49,1.17106,0.72307,1.0789,0.86744,0.79948,0.82683,0.60469,0.95574,0.67442,1.04424,0.00032022,0.00032022,0.00032022
25,1082.08,1.20129,0.73433,1.09924,0.81925,0.79718,0.81987,0.59958,0.92908,0.66621,1.039,0.000290664,0.000290664,0.000290664
26,1123.75,1.18196,0.72119,1.08793,0.81992,0.80506,0.84323,0.60826,0.95152,0.6483,1.03919,0.000261108,0.000261108,0.000261108
27,1165.3,1.16906,0.69164,1.07642,0.83314,0.82615,0.83631,0.61172,0.94972,0.64304,1.04223,0.000231553,0.000231553,0.000231553
28,1206.75,1.15588,0.68016,1.08041,0.80488,0.82371,0.84661,0.61448,0.94005,0.62283,1.03773,0.000201997,0.000201997,0.000201997
29,1248.35,1.12923,0.6741,1.06808,0.87265,0.80859,0.85147,0.62314,0.93549,0.61862,1.03398,0.000172441,0.000172441,0.000172441
30,1289.99,1.16223,0.68477,1.08655,0.89454,0.77887,0.8422,0.62876,0.91962,0.61089,1.02786,0.000142886,0.000142886,0.000142886
