fitness,lr0,lrf,degrees,scale,shear
0.66396,0.001,0.1,0.0,0.5,0.0
0.67955,0.001,0.11528,0.0,0.5,0.0
0.64665,0.001,0.11528,0.0,0.47627,0.0
0.67955,0.001,0.11528,0.0,0.5,0.0
0.66777,0.001,0.11044,0.0,0.5,0.0
0.66396,0.001,0.1,0.0,0.5,0.0
0.64965,0.001,0.11528,0.0,0.47623,0.0
0.65521,0.001,0.11081,0.0,0.4748,0.0
0.6501,0.001,0.11333,0.0,0.47254,0.0
0.67955,0.001,0.11528,0.0,0.5,0.0
