epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.747,1.46309,3.1823,1.07432,0.93505,0.13394,0.42489,0.27728,1.18701,3.38449,1.00055,0.000253089,0.000253089,0.000253089
2,451.171,1.43902,1.71396,1.10282,0.52527,0.555,0.55683,0.3756,1.15054,1.93388,1.02468,0.000458989,0.000458989,0.000458989
3,665.933,1.42005,1.48554,1.1174,0.77225,0.6138,0.66939,0.44581,1.11601,1.51407,1.01991,0.000614136,0.000614136,0.000614136
4,878.343,1.41318,1.35542,1.11353,0.78921,0.5717,0.65188,0.44065,1.08734,1.32383,1.01729,0.000540607,0.000540607,0.000540607
5,1090.51,1.35994,1.27958,1.09559,0.84718,0.63447,0.70548,0.49574,1.06614,1.21381,1.02048,0.000464476,0.000464476,0.000464476
6,1302.59,1.32915,1.19656,1.07654,0.76051,0.676,0.73708,0.52078,0.98229,1.07525,0.97696,0.000388345,0.000388345,0.000388345
7,1512.91,1.2994,1.12792,1.06732,0.73897,0.71259,0.75229,0.53937,1.01552,1.03048,0.98276,0.000312214,0.000312214,0.000312214
8,1722.98,1.27844,1.06461,1.06364,0.8786,0.68842,0.7555,0.54584,0.97729,1.00227,0.97714,0.000236083,0.000236083,0.000236083
9,1932.39,1.26126,1.0351,1.05194,0.8585,0.71631,0.764,0.55419,0.97133,0.96207,0.96486,0.000159952,0.000159952,0.000159952
10,2142.03,1.23768,0.99303,1.04129,0.8809,0.70325,0.77102,0.5635,0.9586,0.91293,0.96427,8.3821e-05,8.3821e-05,8.3821e-05
