epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.33,1.50897,2.27362,1.23293,0.5199,0.4091,0.40391,0.25671,1.29794,2.37907,1.21279,0.0672598,0.000330709,0.000330709
2,85.3436,1.42665,1.41249,1.20255,0.60351,0.57687,0.52462,0.34653,1.23624,1.72064,1.23603,0.0342403,0.000644459,0.000644459
3,127.901,1.41093,1.27071,1.19884,0.66375,0.64532,0.65109,0.41937,1.16916,1.40374,1.19729,0.00120102,0.000938549,0.000938549
4,169.616,1.4002,1.19591,1.1941,0.74624,0.6294,0.66176,0.43487,1.14252,1.15459,1.16077,0.000911528,0.000911528,0.000911528
5,211.558,1.38997,1.14347,1.18742,0.66425,0.66944,0.66452,0.43874,1.13515,1.16681,1.14246,0.000882037,0.000882037,0.000882037
6,253.383,1.38479,1.08437,1.17686,0.66779,0.68346,0.68301,0.4756,1.06711,0.98342,1.11288,0.000852547,0.000852547,0.000852547
7,295.109,1.32887,1.03214,1.15893,0.85332,0.64489,0.72814,0.50258,1.06071,0.89766,1.13163,0.000823056,0.000823056,0.000823056
8,336.899,1.33694,1.00769,1.15454,0.77569,0.65031,0.70392,0.49071,1.08371,0.91819,1.1233,0.000793565,0.000793565,0.000793565
9,378.633,1.31547,0.97314,1.16095,0.79089,0.66689,0.71354,0.49796,1.04005,0.95629,1.10777,0.000764075,0.000764075,0.000764075
10,420.375,1.31529,0.96037,1.14949,0.77977,0.78773,0.80335,0.56614,1.0499,0.79335,1.09324,0.000734584,0.000734584,0.000734584
11,462.246,1.29303,0.94777,1.15028,0.70755,0.7226,0.75697,0.54503,1.001,0.80466,1.08537,0.000705093,0.000705093,0.000705093
12,504.088,1.27699,0.8894,1.13553,0.79906,0.75624,0.78825,0.56675,1.00958,0.80381,1.08205,0.000675603,0.000675603,0.000675603
13,545.928,1.27427,0.88744,1.13803,0.80934,0.766,0.80899,0.57506,1.03375,0.77139,1.08483,0.000646112,0.000646112,0.000646112
14,587.673,1.29827,0.88484,1.14815,0.79353,0.75615,0.79264,0.57189,1.03787,0.79302,1.09384,0.000616621,0.000616621,0.000616621
15,629.643,1.26603,0.85733,1.14022,0.8766,0.76202,0.80992,0.58572,0.98732,0.73782,1.08569,0.000587131,0.000587131,0.000587131
16,671.461,1.25124,0.86259,1.11773,0.8625,0.73665,0.79485,0.57068,1.00904,0.75005,1.10238,0.00055764,0.00055764,0.00055764
17,713.278,1.24309,0.8314,1.12101,0.79653,0.78171,0.80941,0.58422,0.98745,0.73375,1.07624,0.000528149,0.000528149,0.000528149
18,755.323,1.23509,0.81786,1.11931,0.81435,0.78986,0.8066,0.57765,0.98109,0.72225,1.07175,0.000498659,0.000498659,0.000498659
19,797.024,1.22281,0.81134,1.11074,0.85824,0.78617,0.80543,0.57835,0.9832,0.72338,1.06711,0.000469168,0.000469168,0.000469168
20,838.899,1.22201,0.80751,1.1143,0.84439,0.77904,0.8339,0.61419,0.94915,0.66874,1.0546,0.000439677,0.000439677,0.000439677
21,915.427,1.21526,0.77607,1.11005,0.83287,0.75544,0.81992,0.59105,0.96479,0.69572,1.06769,0.000410187,0.000410187,0.000410187
22,956.981,1.22373,0.75573,1.11024,0.8624,0.76529,0.8342,0.59854,0.98023,0.70167,1.06516,0.000380696,0.000380696,0.000380696
23,998.614,1.19832,0.74072,1.09867,0.88023,0.78798,0.83983,0.61119,0.97596,0.66033,1.06642,0.000351205,0.000351205,0.000351205
24,1040.27,1.18254,0.72753,1.08398,0.85003,0.79897,0.83443,0.61026,0.97692,0.66562,1.0684,0.000321715,0.000321715,0.000321715
25,1081.7,1.19874,0.72885,1.10219,0.87195,0.82513,0.84878,0.62298,0.94891,0.63921,1.0494,0.000292224,0.000292224,0.000292224
26,1123.44,1.17526,0.7149,1.08585,0.85707,0.82049,0.84899,0.61848,0.95902,0.64581,1.05227,0.000262733,0.000262733,0.000262733
27,1165.04,1.16505,0.69051,1.08348,0.85303,0.81338,0.84188,0.61106,0.95484,0.61933,1.05003,0.000233243,0.000233243,0.000233243
28,1206.71,1.14944,0.6829,1.08235,0.88838,0.78997,0.84837,0.61872,0.93544,0.63146,1.03298,0.000203752,0.000203752,0.000203752
29,1248.34,1.12032,0.67284,1.06856,0.89424,0.7898,0.83481,0.61589,0.93162,0.62288,1.03257,0.000174261,0.000174261,0.000174261
30,1290.06,1.1544,0.68365,1.08736,0.82315,0.82347,0.85312,0.62371,0.92713,0.63007,1.03417,0.000144771,0.000144771,0.000144771
